time_s,throttle_us,steer_deg,ax,ay,az,gx,gy,gz,angle_deg,omega_deg_s,turn_counts
0.5607,1750,79,0.34,-7.841,-5.6671,-0.0707,0.0075,-0.0036,0.0,-132.29,0
0.6623,1750,79,0.3041,-7.8769,-5.782,-0.0718,0.0037,-0.0017,348.75,-1143.78,-128
0.6623,1750,79,0.3663,-7.7309,-5.691,-0.0705,0.0092,-0.0027,0.0,190.36,0
0.6623,1750,79,0.2897,-7.8003,-5.624,-0.0721,0.0085,-0.0001,0.0,104.9,0
0.6623,1750,79,0.34,-7.8745,-5.624,-0.075,0.0072,-0.0003,0.0,-485.71,0
0.6623,1750,79,0.3974,-7.8745,-5.636,-0.0685,0.0057,0.0001,0.0,-222.53,0
0.6623,1750,79,0.3472,-7.8769,-5.6336,-0.0727,0.0101,0.0013,10.11,1109.31,115
0.6623,1750,79,0.3376,-7.8626,-5.6407,-0.0706,0.0085,-0.0016,9.4,1263.96,107
0.6623,1750,79,0.3041,-7.8075,-5.6096,-0.0691,0.0107,-0.0035,0.0,498.36,0
0.6623,1750,79,0.3663,-7.8626,-5.6288,-0.069,0.0101,-0.0008,349.01,-2104.51,-125
0.6623,1750,79,0.3591,-7.8697,-5.6192,-0.0717,0.0101,0.0001,0.0,893.25,0
0.6623,1750,79,0.3304,-7.8362,-5.6695,-0.0734,0.006,0.0005,0.0,-410.66,0
0.6623,1750,79,0.3304,-7.8219,-5.6767,-0.0719,0.0072,0.0004,0.0,54.3,0
0.6623,1750,79,0.3136,-7.829,-5.6168,-0.0718,0.0083,-0.0021,0.0,-18.57,0
0.6623,1750,79,0.3496,-7.8386,-5.6575,-0.0689,0.0089,-0.0009,0.0,-45.16,0
0.6623,1750,79,0.3304,-7.8745,-5.5976,-0.0707,0.0049,-0.0025,0.0,390.79,0
0.6623,1750,79,0.3687,-7.8937,-5.6288,-0.0706,0.0071,-0.0025,0.0,175.3,0
0.6623,1750,79,0.3328,-7.8745,-5.6814,-0.0687,0.0117,0.0003,0.0,-379.38,0
0.6623,1750,79,0.3496,-7.8769,-5.6671,-0.0681,0.0081,-0.0036,10.11,961.55,115
0.6623,1750,79,0.3496,-7.8817,-5.6264,-0.0694,0.0141,-0.0011,0.0,41.13,0
0.6623,1750,79,0.328,-7.8554,-5.7437,-0.0644,0.0101,-0.0029,0.0,467.99,0
0.6623,1750,79,0.4022,-7.8482,-5.6527,-0.0771,-0.0045,-0.0007,349.01,-893.44,-125
0.6623,1750,79,0.4334,-7.8482,-5.6383,-0.0835,0.0033,0.0032,0.0,-289.02,0
0.6623,1750,79,0.3687,-7.8434,-5.6575,-0.0793,-0.0043,0.0025,349.01,-2232.12,-125
0.6623,1750,79,0.3591,-7.8721,-5.5952,-0.0793,0.0031,-0.0012,0.0,11.52,0
0.6623,1750,79,0.3472,-7.8075,-5.7413,-0.0797,0.0063,0.0037,349.01,-1087.38,-125
0.6623,1750,79,0.3136,-7.9272,-5.6336,-0.0695,0.012,0.0025,0.0,-322.91,0
0.6623,1750,79,0.3352,-7.8554,-5.624,-0.061,0.0095,-0.0059,8.96,1077.82,102
0.6623,1750,79,0.3208,-7.8243,-5.7006,-0.0691,0.0096,-0.0024,0.0,476.03,0
